system,bias,Delta_E_D_eV,Delta_unc_2sigma_eV,ED_vac_rel_eV,ED_vac_unc_2sigma_eV,ED_solv_rel_eV,ED_solv_unc_2sigma_eV
Au-000,-0.10V,-0.2938,0.0541,-0.3109,0.0450,-0.6047,0.0300
Au-000,+0.00V,-0.2974,0.0541,-0.3061,0.0450,-0.6035,0.0300
Au-000,+0.10V,-0.6033,0.0541,-0.0031,0.0450,-0.6063,0.0300
Au-001/Site-000,-0.10V,-0.3435,1.3150,-0.3652,1.2880,-0.7087,0.2655
Au-001/Site-000,+0.00V,-0.1889,1.3294,-0.3670,1.2994,-0.5559,0.2805
Au-001/Site-000,+0.10V,-1.2201,0.4370,0.3009,0.3713,-0.9192,0.2305
Au-001/Site-002,-0.10V,-1.0039,0.4795,0.2944,0.3925,-0.7095,0.2755
Au-001/Site-002,+0.00V,-0.7272,0.4215,0.2234,0.3655,-0.5038,0.2101
Au-001/Site-002,+0.10V,-0.8410,0.4851,0.2827,0.3925,-0.5583,0.2851
Au-001/Site-005,-0.10V,-1.3616,0.4408,0.2914,0.3925,-1.0702,0.2006
Au-001/Site-005,+0.00V,-0.1627,1.2971,-0.3465,1.2807,-0.5092,0.2056
Au-001/Site-005,+0.10V,-0.8205,0.4293,0.3137,0.3713,-0.5068,0.2156
